parcode,trial,fix_item,fix_time
mar,0,3,1628.000000
mar,0,0,54.000000
mar,0,1,186.000000
mar,0,0,310.000000
mar,1,3,734.000000
mar,1,0,1160.000000
mar,1,1,1532.000000
mar,2,3,730.000000
mar,2,0,1090.000000
mar,2,1,230.000000
mar,2,0,108.000000
mar,3,3,662.000000
mar,3,0,998.000000
mar,3,1,252.000000
mar,3,0,274.000000
mar,3,2,1514.000000
mar,4,3,858.000000
mar,4,0,56.000000
mar,4,1,266.000000
mar,4,0,682.000000
mar,5,3,668.000000
mar,5,0,56.000000
mar,5,1,222.000000
mar,5,0,70.000000
mar,5,2,176.000000
mar,5,0,490.000000
mar,6,3,726.000000
mar,6,0,182.000000
mar,6,1,984.000000
mar,6,0,150.000000
mar,7,3,708.000000
mar,7,0,48.000000
mar,7,1,274.000000
mar,7,0,68.000000
mar,7,2,132.000000
mar,7,0,470.000000
mar,7,1,450.000000
mar,7,0,230.000000
mar,8,3,716.000000
mar,8,0,998.000000
mar,8,1,184.000000
mar,8,0,446.000000
mar,9,3,504.000000
mar,9,0,206.000000
mar,9,1,178.000000
mar,9,0,76.000000
mar,9,2,184.000000
mar,9,0,172.000000
mar,10,3,538.000000
mar,10,0,48.000000
mar,10,1,170.000000
mar,10,0,160.000000
mar,10,2,140.000000
mar,10,0,374.000000
mar,11,3,744.000000
mar,11,0,44.000000
mar,11,2,1014.000000
mar,11,0,70.000000
mar,12,3,670.000000
mar,12,0,46.000000
mar,12,1,316.000000
mar,12,0,74.000000
mar,12,2,98.000000
mar,12,0,426.000000
mar,12,1,882.000000
mar,13,3,680.000000
mar,13,0,340.000000
mar,13,2,146.000000
mar,13,0,200.000000
mar,14,3,658.000000
mar,14,0,458.000000
mar,14,2,212.000000
mar,14,0,374.000000
mar,15,3,778.000000
mar,15,0,50.000000
mar,15,1,234.000000
mar,15,0,464.000000
mar,15,2,102.000000
mar,16,3,694.000000
mar,16,0,354.000000
mar,16,2,180.000000
mar,16,0,420.000000
mar,17,3,690.000000
mar,17,0,326.000000
mar,17,2,178.000000
mar,17,0,284.000000
mar,18,3,726.000000
mar,18,0,54.000000
mar,18,1,186.000000
mar,18,0,76.000000
mar,18,2,176.000000
mar,18,0,214.000000
mar,19,3,690.000000
mar,19,0,222.000000
mar,19,1,1032.000000
mar,19,0,278.000000
mar,20,3,610.000000
mar,20,0,50.000000
mar,20,1,226.000000
mar,20,0,76.000000
mar,20,2,318.000000
mar,20,0,274.000000
mar,20,1,248.000000
mar,21,3,746.000000
mar,21,0,468.000000
mar,21,2,878.000000
mar,21,0,384.000000
mar,22,3,648.000000
mar,22,0,332.000000
mar,22,2,984.000000
mar,23,3,652.000000
mar,23,0,52.000000
mar,23,1,264.000000
mar,23,0,82.000000
mar,23,2,318.000000
mar,23,0,230.000000
mar,24,3,718.000000
mar,24,0,50.000000
mar,24,1,374.000000
mar,24,0,72.000000
mar,24,2,154.000000
mar,24,0,460.000000
mar,24,1,288.000000
mar,25,3,832.000000
mar,25,0,46.000000
mar,25,2,290.000000
mar,25,0,484.000000
mar,26,3,578.000000
mar,26,0,586.000000
mar,26,2,104.000000
mar,26,0,316.000000
mar,26,1,386.000000
mar,26,0,224.000000
mar,26,3,520.000000
mar,27,3,452.000000
mar,27,0,46.000000
mar,27,1,280.000000
mar,27,0,72.000000
mar,27,2,266.000000
mar,27,0,452.000000
mar,27,1,290.000000
mar,27,0,300.000000
mar,28,3,654.000000
mar,28,0,48.000000
mar,28,1,190.000000
mar,28,0,70.000000
mar,28,2,136.000000
mar,28,0,720.000000
mar,29,3,722.000000
mar,29,0,44.000000
mar,29,1,1012.000000
mar,30,3,500.000000
mar,30,0,304.000000
mar,30,2,1336.000000
mar,31,3,714.000000
mar,31,0,48.000000
mar,31,1,318.000000
mar,31,0,72.000000
mar,31,2,238.000000
mar,31,0,268.000000
mar,31,1,216.000000
mar,31,0,56.000000
mar,32,3,724.000000
mar,32,0,54.000000
mar,32,1,292.000000
mar,32,0,76.000000
mar,32,2,194.000000
mar,32,0,590.000000
mar,32,1,526.000000
mar,32,0,74.000000
mar,32,2,118.000000
mar,33,3,706.000000
mar,33,0,308.000000
mar,33,2,158.000000
mar,33,0,362.000000
mar,34,3,696.000000
mar,34,0,50.000000
mar,34,1,182.000000
mar,34,0,72.000000
mar,34,2,1190.000000
mar,34,0,118.000000
